ticker,score,confidence,recommendation,prediction,actual,actual_return,correct,hft_active,stat_arb_active,ml_active,should_trade
AAPL,0.45136503168392855,0.6334243264039859,HOLD,0,0,0.903613614246912,True,True,False,True,False
MSFT,0.26771987436685507,0.6378461695794906,HOLD,0,0,0.4107422162704655,True,True,False,True,False
JPM,0.41030848780137963,0.6267756821460464,HOLD,0,1,2.4126160718359158,False,True,False,True,False
XOM,0.2925690995618249,0.6202745356661128,HOLD,0,1,3.294768586807395,False,True,False,True,False
AMZN,0.4862309423217836,0.6939627144515881,HOLD,0,1,1.574356983125158,False,True,False,True,False
